9.847566880517817367e-01,9.847566880517817367e-01,9.842562515516982691e-01,9.845048592328924375e-01,9.845048592328924375e-01,9.844736084652799812e-01,9.843356587156117943e-01,9.843356587156117943e-01,9.847162778916922488e-01,9.844550414431660901e-01
9.872406070413595192e-01,9.871736467027248940e-01,9.871775368717852217e-01,9.871775368717852217e-01,9.873523584507454265e-01,9.867545953726006847e-01,9.867545953726006847e-01,9.870745429855100062e-01,9.873146961953933598e-01,9.873146961953933598e-01
9.871100241306738354e-01,9.878273584670523855e-01,9.878273584670523855e-01,9.868956010864918804e-01,9.870859725932839002e-01,9.870859725932839002e-01,9.866809545887255117e-01,9.874306207331529084e-01,9.874306207331529084e-01,9.867775183551117379e-01
9.865028098152143210e-01,9.865028098152143210e-01,9.875623877645690607e-01,9.868072934482651215e-01,9.868072934482651215e-01,9.869357811749168707e-01,9.875549042444224934e-01,9.875549042444224934e-01,9.874957644089553677e-01,9.872076277368557751e-01
9.870899767876732955e-01,9.866237801135305796e-01,9.870172226348759015e-01,9.870172226348759015e-01,9.870810934631141231e-01,9.871250864444377493e-01,9.871250864444377493e-01,9.872920914055706154e-01,9.869659909133670084e-01,9.869659909133670084e-01
9.864969454757261946e-01,9.860634853114573772e-01,9.860634853114573772e-01,9.866119437468462428e-01,9.867746222873972073e-01,9.867746222873972073e-01,9.866502720454295439e-01,9.868558870306317621e-01,9.868558870306317621e-01,9.865767912136327311e-01
9.864181780308707292e-01,9.864181780308707292e-01,9.858206517851065831e-01,9.863940047837592706e-01,9.863940047837592706e-01,9.863178565250730889e-01,9.865012460543773898e-01,9.865012460543773898e-01,9.864297445498758643e-01,9.864327227515172769e-01
9.861914952397696776e-01,9.861867993323893966e-01,9.861015067557922231e-01,9.861015067557922231e-01,9.862693622030509477e-01,9.859080136544313699e-01,9.859080136544313699e-01,9.857502327334877190e-01,9.863477695854271365e-01,9.863477695854271365e-01
9.859936691611764781e-01,9.861790122017455307e-01,9.861790122017455307e-01,9.862089823057873517e-01,9.856877211823272811e-01,9.856877211823272811e-01,9.859516422723343387e-01,9.853856830296798819e-01,9.853856830296798819e-01,9.859032982244603227e-01
9.852640234465305236e-01,9.852640234465305236e-01,9.844963666807968750e-01,9.849687622227010220e-01,9.849687622227010220e-01,9.849815815113733830e-01,9.849815815113733830e-01,9.846531353416109189e-01,9.852184574401636752e-01,9.852184574401636752e-01
